# 3C138
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency  I       P.F.       P.A.
# (GHz)      (Jy)               (rad)
1.022        10.07   0.05462    -0.23182
1.465        8.26    0.07795    -0.16694
1.865        7.21    0.08955    -0.16235
2.565        6.00    0.09848    -0.17721
3.565        4.89    0.10337    -0.16619
4.885        4.00    0.10524    -0.18386
6.680        3.23    0.10219    -0.20056
8.435        2.76    0.10939    -0.16412
11.320       2.24    0.09063    -0.13864
14.065       1.90    0.08231    -0.18290
16.654       1.69    0.08186    -0.23086

